#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  44000      3.38e+01    4.23e+01      4.67e+00    2.06e+00      3.99e+00    5.06e+00    1.4e-04
  46000      4.26e+01    4.66e+01      1.11e+00    3.44e+00      5.43e+00    5.89e+00    1.2e-04
  48000      4.31e+01    1.97e+02      2.14e+00    3.84e+00      5.83e+00    2.68e+01    1.1e-04
  50000      2.77e+01    2.93e+01      9.76e-01    3.20e+00      3.99e+00    4.12e+00    9.5e-05
  52000      3.61e+02    4.11e+01      4.21e+00    4.84e+00      5.52e+01    6.11e+00    8.4e-05
  54000      5.54e+01    7.69e+01      5.25e+00    6.74e+00      8.91e+00    1.23e+01    7.4e-05
  56000      2.45e+01    2.98e+02      8.68e-01    4.70e+00      4.21e+00    5.13e+01    6.6e-05
  58000      1.62e+02    5.60e+01      4.84e+00    3.92e+00      2.96e+01    1.01e+01    5.8e-05
  60000      1.75e+02    2.64e+02      2.90e+00    4.72e+00      3.39e+01    5.12e+01    5.1e-05
  62000      1.82e+02    2.90e+02      3.60e+00    5.53e+00      3.73e+01    5.94e+01    4.5e-05
  64000      8.58e+00    2.84e+01      1.01e+00    3.31e+00      1.84e+00    6.01e+00    4.0e-05
  66000      1.75e+01    3.30e+02      2.05e+00    8.13e+00      3.99e+00    7.60e+01    3.6e-05
  68000      4.37e+01    3.83e+01      6.49e+00    4.37e+00      1.04e+01    9.11e+00    3.2e-05
  70000      1.57e+01    1.74e+01      2.12e+00    3.87e+00      3.99e+00    4.02e+00    2.8e-05
  72000      1.49e+01    5.15e-02      2.14e+00    5.18e-02      3.99e+00    0.00e+00    2.5e-05
  74000      1.40e+01    1.88e+01      1.99e+00    2.39e+00      3.99e+00    5.26e+00    2.2e-05
  76000      8.64e+01    4.51e+01      3.77e+00    3.59e+00      2.64e+01    1.36e+01    1.9e-05
  78000      1.76e+02    5.53e+01      5.32e+00    5.56e+00      5.69e+01    1.75e+01    1.7e-05
  80000      1.80e+02    1.28e-01      4.37e+00    1.29e-01      6.13e+01    0.00e+00    1.5e-05
  82000      1.63e+01    3.25e+01      1.43e+00    3.14e+00      5.83e+00    1.15e+01    1.3e-05
  84000      1.36e+02    1.28e+02      4.74e+00    6.91e+00      5.15e+01    4.82e+01    1.2e-05
  86000      4.98e+02    5.64e+01      5.20e+00    2.82e+00      1.99e+02    2.24e+01    1.1e-05
  88000      9.87e+00    3.22e+01      1.88e+00    2.10e+00      4.00e+00    1.34e+01    9.3e-06
  90000      6.88e+01    1.14e+01      3.42e+00    3.16e+00      3.03e+01    4.20e+00    8.2e-06
  92000      1.62e+02    1.84e+01      4.31e+00    8.40e-01      7.53e+01    8.54e+00    7.3e-06
  94000      8.53e+00    9.72e+00      2.03e+00    3.21e+00      3.91e+00    3.55e+00    6.4e-06
  96000      2.30e+01    8.67e+00      1.46e+00    1.82e+00      1.17e+01    4.01e+00    5.7e-06
  98000      2.20e+01    7.05e+00      5.39e+00    1.38e+00      1.10e+01    3.61e+00    5.1e-06
 100000      8.58e+01    6.49e+00      3.76e+00    1.28e+00      4.75e+01    3.46e+00    4.5e-06
 102000      7.10e+00    6.48e+00      1.46e+00    2.38e+00      3.94e+00    2.55e+00    4.0e-06
 104000      9.70e+00    8.44e+00      5.86e-01    2.90e+00      5.83e+00    3.70e+00    3.5e-06
 106000      5.64e+01    2.59e+01      3.43e+00    1.85e+00      3.50e+01    1.61e+01    3.1e-06
 108000      2.76e+00    7.86e+01      1.73e+00    4.97e+00      8.28e-01    5.06e+01    2.7e-06
 110000      1.22e+02    1.10e+02      4.43e+00    7.32e+00      8.20e+01    7.36e+01    2.4e-06
 112000      8.80e+00    7.00e+00      1.83e+00    2.42e+00      5.84e+00    3.52e+00    2.2e-06
 114000      6.03e+00    1.11e+01      1.75e+00    1.47e+00      3.94e+00    7.64e+00    1.9e-06
 116000      5.04e+01    2.22e+01      3.51e+00    1.75e+00      3.68e+01    1.61e+01    1.7e-06
 118000      1.62e+01    3.15e+01      1.95e+00    2.58e+00      1.21e+01    2.35e+01    1.5e-06
 120000      1.76e+01    9.87e+00      6.61e+00    4.47e+00      1.16e+01    3.25e+00    1.3e-06
 122000      7.34e+00    7.77e+00      3.17e-01    2.13e+00      5.83e+00    5.17e+00    1.2e-06
 124000      1.58e+02    6.29e+00      4.00e+00    2.19e+00      1.28e+02    3.67e+00    1.0e-06
 126000      7.05e+00    4.75e+00      3.23e-01    2.05e+00      5.83e+00    1.98e+00    9.1e-07
 128000      5.25e+00    6.58e+00      1.70e+00    1.87e+00      3.94e+00    4.56e+00    8.1e-07
 130000      5.20e+00    1.00e+01      1.73e+00    8.48e-01      3.94e+00    8.54e+00    7.2e-07
 132000      4.24e+01    5.90e+01      4.08e+00    4.36e+00      3.63e+01    5.09e+01    6.3e-07
 134000      2.33e+02    7.24e+00      2.84e+00    2.41e+00      2.06e+02    4.78e+00    5.6e-07
 136000      2.06e+01    2.62e+01      2.09e+00    1.57e+00      1.82e+01    2.33e+01    5.0e-07
 138000      1.60e+02    1.79e+01      2.82e+00    1.63e+00      1.45e+02    1.61e+01    4.4e-07
 140000      3.40e+01    8.57e+00      3.93e+00    3.71e+00      3.02e+01    3.92e+00    3.9e-07
 142000      1.53e+01    4.34e+00      6.92e+00    1.83e+00      1.09e+01    2.15e+00    3.4e-07
 144000      1.65e+01    6.27e+00      2.08e+00    2.62e+00      1.52e+01    3.20e+00    3.0e-07
 146000      6.22e+00    5.27e+00      3.09e-01    2.25e+00      5.83e+00    2.57e+00    2.7e-07
 148000      4.86e+00    8.97e+00      1.77e+00    4.25e+00      3.94e+00    2.72e+00    2.4e-07
 150000      1.41e+01    6.06e+00      2.05e+00    2.12e+00      1.31e+01    4.12e+00    2.1e-07
 152000      7.98e+01    6.71e+00      3.79e+00    1.64e+00      7.59e+01    5.60e+00    1.9e-07
 154000      4.24e+01    8.97e+00      3.40e+00    8.47e-01      4.02e+01    8.54e+00    1.7e-07
 156000      6.05e+00    5.33e+00      3.04e-01    2.25e+00      5.83e+00    2.77e+00    1.5e-07
 158000      8.35e+01    1.88e+01      3.47e+00    3.96e+00      8.06e+01    1.65e+01    1.3e-07
 160000      1.48e+01    6.85e+00      6.99e+00    3.23e+00      1.07e+01    2.20e+00    1.1e-07
 162000      2.86e+01    3.91e+00      3.80e+00    1.35e+00      2.69e+01    3.33e+00    1.0e-07
 164000      1.02e+01    5.03e+00      1.99e+00    2.15e+00      9.59e+00    2.54e+00    9.0e-08
 166000      9.82e+00    6.91e+00      1.98e+00    2.89e+00      9.23e+00    3.73e+00    8.0e-08
 168000      4.74e+00    8.29e+00      1.79e+00    3.72e+00      3.94e+00    3.59e+00    7.0e-08
 170000      9.15e+00    6.64e+00      1.97e+00    1.91e+00      8.58e+00    5.35e+00    6.2e-08
 172000      8.85e+00    6.88e+01      1.97e+00    6.20e+00      8.29e+00    6.68e+01    5.5e-08
