#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  56000      3.28e+01    1.68e-02      1.57e+00    1.71e-02      5.64e+00    0.00e+00    6.6e-05
  58000      3.51e+01    1.81e+01      5.24e+00    5.60e+00      6.27e+00    2.61e+00    5.8e-05
  60000      2.28e+01    3.44e+01      1.62e+01    2.45e+00      5.18e-01    6.60e+00    5.1e-05
  62000      2.14e+01    2.60e+01      1.39e+01    8.51e+00      1.79e+00    4.08e+00    4.5e-05
  64000      1.09e+02    1.13e+01      2.45e+00    1.70e+00      2.37e+01    2.41e+00    4.0e-05
  66000      2.21e+01    4.16e+02      1.16e+01    9.15e+00      3.48e+00    9.59e+01    3.6e-05
  68000      2.67e+01    2.14e+01      4.85e+00    1.91e+00      6.30e+00    5.13e+00    3.2e-05
  70000      1.40e+02    9.59e+00      7.24e+00    2.91e+00      3.61e+01    1.98e+00    2.8e-05
  72000      2.41e+01    3.95e-02      5.01e+00    3.97e-02      6.30e+00    0.00e+00    2.5e-05
  74000      7.23e+01    3.74e-02      3.94e+00    3.76e-02      2.08e+01    0.00e+00    2.2e-05
  76000      2.89e+01    8.99e+00      1.30e+01    3.08e+00      6.85e+00    2.01e+00    1.9e-05
  78000      2.08e+01    1.46e+02      5.34e+00    5.30e+00      6.29e+00    4.72e+01    1.7e-05
  80000      3.11e+01    5.69e+00      1.48e+01    1.60e+00      7.86e+00    1.61e+00    1.5e-05
  82000      6.94e+01    4.70e+00      4.41e+00    1.04e+00      2.48e+01    1.52e+00    1.3e-05
  84000      1.81e+01    9.29e+01      5.21e+00    8.09e+00      6.28e+00    3.47e+01    1.2e-05
  86000      3.63e+00    1.32e-02      1.73e+00    1.32e-02      1.07e+00    0.00e+00    1.1e-05
  88000      3.39e+00    1.34e+01      1.74e+00    4.93e+00      9.85e-01    3.81e+00    9.3e-06
  90000      1.61e+01    7.12e+00      5.35e+00    1.21e+00      6.28e+00    2.96e+00    8.2e-06
  92000      1.55e+01    4.30e+01      5.32e+00    3.12e+00      6.29e+00    1.99e+01    7.3e-06
  94000      3.16e+00    7.66e+00      1.92e+00    3.44e+00      7.92e-01    1.66e+00    6.4e-06
  96000      3.56e+00    1.38e+01      1.68e+00    3.48e+00      1.35e+00    6.09e+00    5.7e-06
  98000      1.42e+01    9.98e+00      5.64e+00    2.34e+00      6.29e+00    4.70e+00    5.1e-06
 100000      1.70e+02    6.31e+00      2.71e+00    2.87e+00      9.46e+01    1.46e+00    4.5e-06
 102000      3.18e+01    5.68e+00      4.70e+00    2.66e+00      1.76e+01    1.18e+00    4.0e-06
 104000      5.44e+01    4.67e+00      4.43e+00    1.73e+00      3.23e+01    1.89e+00    3.5e-06
 106000      4.77e+01    1.84e+01      2.57e+01    4.08e+00      1.94e+01    1.03e+01    3.1e-06
 108000      1.25e+01    4.72e+00      5.60e+00    2.07e+00      6.29e+00    1.48e+00    2.7e-06
 110000      7.12e+01    6.84e-03      4.20e+00    6.84e-03      4.75e+01    0.00e+00    2.4e-06
 112000      1.21e+01    8.71e+00      5.64e+00    4.18e+00      6.29e+00    1.73e+00    2.2e-06
 114000      7.36e+00    1.35e+02      1.44e+00    9.07e+00      5.07e+00    9.59e+01    1.9e-06
 116000      1.15e+01    9.74e+00      5.49e+00    3.51e+00      6.29e+00    4.98e+00    1.7e-06
 118000      5.47e+01    6.97e+00      3.06e+01    3.11e+00      2.54e+01    2.39e+00    1.5e-06
 120000      6.40e+00    3.89e-02      2.69e+00    3.89e-02      3.99e+00    0.00e+00    1.3e-06
 122000      6.43e+00    5.10e+00      1.41e+00    2.30e+00      4.86e+00    1.73e+00    1.2e-06
 124000      5.76e+01    2.37e+00      3.28e+01    1.55e+00      2.78e+01    7.28e-01    1.0e-06
 126000      4.84e+01    2.65e+00      3.54e+00    1.03e+00      3.97e+01    1.39e+00    9.1e-07
 128000      7.35e+01    4.36e+01      6.92e+00    7.47e+00      6.09e+01    3.45e+01    8.1e-07
 130000      3.62e+01    2.43e+00      3.42e+00    1.62e+00      3.05e+01    7.20e-01    7.2e-07
 132000      5.80e+00    4.40e+00      1.44e+00    1.85e+00      4.73e+00    2.06e+00    6.3e-07
 134000      6.09e+01    1.87e+01      3.53e+01    3.39e+00      3.09e+01    1.54e+01    5.6e-07
 136000      5.61e+00    3.53e+00      1.42e+00    1.63e+00      4.69e+00    1.22e+00    5.0e-07
 138000      6.20e+01    4.62e+00      3.60e+01    2.05e+00      3.19e+01    1.92e+00    4.4e-07
 140000      3.96e+01    2.21e+01      3.65e+00    2.96e+00      3.56e+01    1.99e+01    3.9e-07
 142000      6.92e+01    4.98e+00      7.10e+00    1.13e+00      6.26e+01    4.09e+00    3.4e-07
 144000      5.85e+00    8.57e+00      2.82e+00    4.19e+00      3.99e+00    1.67e+00    3.0e-07
 146000      3.24e+01    1.16e+01      3.29e+00    2.01e+00      2.98e+01    1.02e+01    2.7e-07
 148000      1.04e+01    5.08e+00      5.67e+00    2.28e+00      6.30e+00    2.09e+00    2.4e-07
 150000      3.63e+01    3.56e+00      4.57e+00    1.34e+00      3.34e+01    2.22e+00    2.1e-07
 152000      6.44e+01    2.88e+01      3.77e+01    3.71e+00      3.45e+01    2.66e+01    1.9e-07
 154000      1.04e+01    9.28e+00      5.70e+00    4.54e+00      6.30e+00    1.83e+00    1.7e-07
 156000      6.48e+01    3.72e+01      6.64e+00    6.19e+00      6.12e+01    3.38e+01    1.5e-07
 158000      1.03e+01    5.52e+00      5.69e+00    2.12e+00      6.30e+00    3.42e+00    1.3e-07
 160000      1.03e+01    4.44e+00      5.69e+00    1.44e+00      6.30e+00    3.28e+00    1.1e-07
 162000      5.11e+00    1.06e+01      1.38e+00    5.06e+00      4.61e+00    3.06e+00    1.0e-07
 164000      6.55e+01    5.45e+00      3.85e+01    1.42e+00      3.57e+01    4.56e+00    9.0e-08
 166000      5.09e+00    3.45e+00      1.40e+00    1.49e+00      4.59e+00    1.70e+00    8.0e-08
 168000      2.51e+01    3.43e+00      2.91e+00    1.42e+00      2.40e+01    1.89e+00    7.0e-08
 170000      7.02e+01    5.45e+00      6.96e+00    2.16e+00      6.78e+01    3.27e+00    6.2e-08
