#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  66000      4.64e+02    5.15e+01      2.73e+01    2.02e+00      1.07e+02    1.19e+01    3.6e-05
  68000      1.63e+01    1.93e+02      1.73e+00    5.25e+00      3.93e+00    4.71e+01    3.2e-05
  70000      1.96e+01    7.53e+01      1.34e-01    4.59e+00      5.07e+00    1.93e+01    2.8e-05
  72000      5.41e+01    8.65e+00      1.28e+00    1.05e+00      1.48e+01    2.30e+00    2.5e-05
  74000      1.64e+02    1.89e+01      3.37e+00    1.21e+00      4.76e+01    5.44e+00    2.2e-05
  76000      2.61e+02    1.06e+01      3.04e+01    3.86e+00      7.89e+01    2.22e+00    1.9e-05
  78000      2.38e+02    1.35e-01      3.10e+01    1.36e-01      7.57e+01    0.00e+00    1.7e-05
  80000      3.15e+01    5.92e+01      6.63e+00    1.74e+00      1.03e+01    2.02e+01    1.5e-05
  82000      5.71e+00    6.59e+00      1.55e+00    1.37e+00      1.90e+00    2.16e+00    1.3e-05
  84000      4.01e+01    6.58e+00      1.71e+00    1.41e+00      1.52e+01    2.26e+00    1.2e-05
  86000      1.35e+02    1.52e+01      2.36e+00    9.99e-01      5.41e+01    6.02e+00    1.1e-05
  88000      1.68e+02    1.33e+01      3.25e+01    1.43e+00      6.81e+01    5.49e+00    9.3e-06
  90000      1.13e+01    8.90e+00      2.91e-01    3.12e+00      4.98e+00    2.82e+00    8.2e-06
  92000      6.83e+01    8.77e+00      2.19e+00    9.65e-01      3.17e+01    3.97e+00    7.3e-06
  94000      5.50e+00    4.79e+00      1.80e+00    6.07e-01      2.38e+00    2.29e+00    6.4e-06
  96000      4.46e+01    1.84e+01      3.16e+00    1.84e+00      2.25e+01    9.28e+00    5.7e-06
  98000      3.40e+00    1.22e+01      2.09e+00    2.94e+00      9.09e-01    5.67e+00    5.1e-06
 100000      6.28e+01    4.17e+01      1.71e+00    1.47e+00      3.49e+01    2.31e+01    4.5e-06
 102000      1.30e+02    1.65e+01      3.40e+01    1.85e+00      7.01e+01    9.41e+00    4.0e-06
 104000      6.42e+01    1.76e+01      3.22e+00    6.97e+00      3.85e+01    6.48e+00    3.5e-06
 106000      8.78e+00    8.80e+00      7.41e-01    1.32e+00      5.46e+00    5.25e+00    3.1e-06
 108000      4.67e+01    4.77e+00      2.44e+00    1.24e+00      3.02e+01    2.65e+00    2.7e-06
 110000      2.57e+01    3.47e+00      6.20e+00    1.11e+00      1.63e+01    1.79e+00    2.4e-06
 112000      5.22e+01    1.84e+01      3.58e+00    7.85e+00      3.59e+01    6.70e+00    2.2e-06
 114000      1.13e+02    4.48e+00      3.46e+01    1.49e+00      7.33e+01    2.39e+00    1.9e-06
 116000      5.58e+01    6.27e+00      1.90e+00    1.96e+00      4.10e+01    3.61e+00    1.7e-06
 118000      1.09e+02    3.66e-04      3.48e+01    3.66e-04      7.34e+01    0.00e+00    1.5e-06
 120000      7.10e+00    8.84e-04      9.15e-01    8.85e-04      5.42e+00    0.00e+00    1.3e-06
 122000      1.05e+02    5.24e+00      3.49e+01    1.29e+00      7.38e+01    3.63e+00    1.2e-06
 124000      2.32e+01    6.22e+00      6.13e+00    2.64e+00      1.74e+01    2.68e+00    1.0e-06
 126000      2.29e+01    6.54e+00      6.12e+00    1.86e+00      1.75e+01    4.46e+00    9.1e-07
 128000      6.93e+01    3.99e+00      3.51e+00    9.40e-01      5.82e+01    2.97e+00    8.1e-07
 130000      3.80e+00    8.41e+00      2.23e+00    3.03e+00      1.83e+00    5.01e+00    7.2e-07
 132000      1.70e+01    6.00e+00      1.88e+00    1.26e+00      1.45e+01    4.74e+00    6.3e-07
 134000      6.27e+00    9.49e+01      9.99e-01    6.86e+00      5.40e+00    8.30e+01    5.6e-07
 136000      4.03e+00    2.30e+00      2.19e+00    5.58e-01      2.30e+00    1.80e+00    5.0e-07
 138000      6.96e+01    5.27e+01      3.66e+00    4.19e+00      6.27e+01    4.71e+01    4.4e-07
 140000      1.30e+01    5.70e+00      1.52e+00    1.31e+00      1.16e+01    4.63e+00    3.9e-07
 142000      2.14e+01    5.56e+00      6.11e+00    1.57e+00      1.81e+01    4.23e+00    3.4e-07
 144000      3.73e+01    4.26e+00      3.67e+00    1.89e+00      3.40e+01    1.84e+00    3.0e-07
 146000      6.19e+01    1.83e-03      1.47e+00    1.83e-03      5.81e+01    0.00e+00    2.7e-07
 148000      2.11e+01    2.53e-05      6.10e+00    2.53e-05      1.82e+01    0.00e+00    2.4e-07
 150000      4.35e+00    3.57e+00      2.07e+00    1.26e+00      3.06e+00    2.40e+00    2.1e-07
 152000      6.38e+01    1.70e+00      1.41e+00    1.17e+00      6.10e+01    3.67e-01    1.9e-07
 154000      3.20e+01    1.06e-04      3.41e+00    1.06e-04      3.01e+01    0.00e+00    1.7e-07
 156000      2.08e+01    8.69e+01      6.10e+00    6.34e+00      1.82e+01    8.30e+01    1.5e-07
 158000      9.19e+01    3.44e+00      3.50e+01    9.72e-01      7.50e+01    2.75e+00    1.3e-07
 160000      6.62e+01    4.79e+00      1.98e+00    9.67e-01      6.43e+01    4.26e+00    1.1e-07
 162000      5.72e+00    1.67e+01      1.03e+00    1.41e+00      5.39e+00    1.61e+01    1.0e-07
 164000      2.06e+01    2.59e+00      6.09e+00    7.91e-01      1.83e+01    2.01e+00    9.0e-08
 166000      4.55e+00    3.48e-05      1.98e+00    3.48e-05      3.52e+00    0.00e+00    8.0e-08
 168000      4.58e+00    9.84e+01      1.98e+00    8.95e+00      3.57e+00    9.59e+01    7.0e-08
 170000      2.81e+01    8.53e+01      3.30e+00    6.35e+00      2.69e+01    8.30e+01    6.2e-08
