#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  54000      3.63e+01    3.31e+01      3.69e+00    3.72e+00      5.83e+00    5.23e+00    7.4e-05
  56000      2.49e+01    2.07e-02      7.77e+00    2.11e-02      3.86e+00    0.00e+00    6.6e-05
  58000      4.75e+02    5.25e+02      5.47e+00    9.24e+00      8.67e+01    9.59e+01    5.8e-05
  60000      6.03e+01    4.27e+01      6.72e+00    1.98e+00      1.15e+01    8.23e+00    5.1e-05
  62000      1.96e+01    1.83e+01      2.10e+00    2.61e+00      3.99e+00    3.62e+00    4.5e-05
  64000      1.21e+01    6.31e+01      7.09e+00    1.01e+01      1.52e+00    1.30e+01    4.0e-05
  66000      2.87e+02    4.79e+01      5.09e+00    2.85e+00      6.62e+01    1.10e+01    3.6e-05
  68000      9.20e+00    2.45e+01      6.23e+00    2.94e+00      7.01e-01    5.81e+00    3.2e-05
  70000      1.92e+02    1.43e+01      3.63e+00    1.99e+00      4.95e+01    3.56e+00    2.8e-05
  72000      2.16e+01    8.06e+00      2.45e+00    2.57e+00      5.83e+00    1.71e+00    2.5e-05
  74000      2.03e+01    1.60e+01      1.92e+00    3.75e+00      5.83e+00    4.11e+00    2.2e-05
  76000      2.46e+02    1.75e+01      3.26e+00    2.57e+00      7.53e+01    5.12e+00    1.9e-05
  78000      1.81e+01    3.68e+01      1.03e+00    6.83e+00      5.83e+00    1.11e+01    1.7e-05
  80000      3.21e+01    1.33e+01      6.10e+00    2.74e+00      1.06e+01    4.16e+00    1.5e-05
  82000      2.10e+02    7.53e+01      4.46e+00    4.12e+00      7.55e+01    2.70e+01    1.3e-05
  84000      9.20e+00    7.38e+00      5.70e+00    3.12e+00      1.70e+00    1.51e+00    1.2e-05
  86000      9.27e+00    4.90e+00      5.77e+00    1.96e+00      1.78e+00    1.18e+00    1.1e-05
  88000      9.12e+00    5.67e+00      5.67e+00    1.13e+00      1.84e+00    2.19e+00    9.3e-06
  90000      9.82e+00    1.23e+01      2.76e+00    1.74e+00      3.99e+00    5.23e+00    8.2e-06
  92000      3.21e+01    6.98e+00      5.65e+00    2.18e+00      1.44e+01    2.53e+00    7.3e-06
  94000      1.35e+02    8.55e+00      3.84e+00    3.70e+00      6.57e+01    2.10e+00    6.4e-06
  96000      1.38e+02    4.72e+00      3.54e+00    2.00e+00      7.04e+01    1.28e+00    5.7e-06
  98000      1.26e+02    1.94e+01      4.87e+00    1.82e+00      6.67e+01    1.01e+01    5.1e-06
 100000      8.02e+00    3.82e+00      2.53e+00    1.31e+00      3.99e+00    1.55e+00    4.5e-06
 102000      8.29e+00    2.24e-03      5.14e+00    2.25e-03      2.32e+00    0.00e+00    4.0e-06
 104000      7.46e+00    4.28e+00      2.42e+00    1.64e+00      4.00e+00    1.66e+00    3.5e-06
 106000      3.00e+01    3.24e+01      5.99e+00    2.05e+00      1.80e+01    2.02e+01    3.1e-06
 108000      7.99e+00    4.13e+01      4.97e+00    2.93e+00      2.47e+00    2.65e+01    2.7e-06
 110000      8.18e+00    3.75e+00      9.18e-01    1.64e+00      5.43e+00    1.22e+00    2.4e-06
 112000      7.49e+01    5.92e+00      2.27e+00    1.58e+00      5.19e+01    3.47e+00    2.2e-06
 114000      8.09e+00    3.76e+00      5.08e+00    1.47e+00      2.67e+00    1.68e+00    1.9e-06
 116000      6.68e+01    3.14e+00      2.74e+00    7.35e-01      4.91e+01    2.04e+00    1.7e-06
 118000      5.67e+01    9.03e+00      3.77e+00    2.22e+00      4.26e+01    5.96e+00    1.5e-06
 120000      6.33e+00    1.31e+01      2.59e+00    1.22e+00      4.01e+00    9.99e+00    1.3e-06
 122000      7.92e+00    5.52e+00      5.01e+00    2.50e+00      2.80e+00    1.86e+00    1.2e-06
 124000      6.71e+01    2.01e+01      4.17e+00    2.24e+00      5.41e+01    1.61e+01    1.0e-06
 126000      7.82e+00    1.03e+01      4.96e+00    8.07e-01      2.88e+00    8.45e+00    9.1e-07
 128000      2.39e+01    4.12e+00      5.26e+00    1.87e+00      1.92e+01    1.45e+00    8.1e-07
 130000      7.10e+01    2.38e+01      2.26e+00    2.12e+00      6.08e+01    2.02e+01    7.2e-07
 132000      2.33e+01    6.82e+01      5.19e+00    7.53e+00      1.92e+01    5.87e+01    6.3e-07
 134000      7.70e+00    3.62e+00      4.88e+00    1.37e+00      3.03e+00    2.08e+00    5.6e-07
 136000      2.28e+01    3.42e+00      5.18e+00    1.52e+00      1.94e+01    1.42e+00    5.0e-07
 138000      4.86e+00    2.93e+00      7.87e-01    1.20e+00      4.28e+00    1.53e+00    4.4e-07
 140000      5.65e+00    3.80e-03      2.51e+00    3.80e-03      4.02e+00    0.00e+00    3.9e-07
 142000      2.23e+01    1.16e+01      5.13e+00    1.48e+00      1.95e+01    1.04e+01    3.4e-07
 144000      5.56e+01    6.12e+01      1.90e+00    7.51e+00      5.17e+01    5.61e+01    3.0e-07
 146000      5.58e+00    6.15e+00      2.53e+00    1.93e+00      4.02e+00    4.50e+00    2.7e-07
 148000      4.10e+00    6.95e+00      8.11e-01    2.53e+00      3.72e+00    4.52e+00    2.4e-07
 150000      4.02e+00    5.23e-04      8.14e-01    5.23e-04      3.66e+00    0.00e+00    2.1e-07
 152000      3.89e+00    3.69e+01      8.14e-01    7.86e+00      3.56e+00    3.19e+01    1.9e-07
 154000      2.17e+01    5.41e+00      5.07e+00    1.98e+00      1.97e+01    3.54e+00    1.7e-07
 156000      6.38e+01    4.99e+00      4.36e+00    1.77e+00      6.10e+01    3.40e+00    1.5e-07
 158000      3.57e+00    1.07e+01      8.18e-01    1.63e+00      3.27e+00    9.86e+00    1.3e-07
 160000      3.49e+00    4.40e+00      8.26e-01    2.02e+00      3.20e+00    1.69e+00    1.1e-07
 162000      7.56e+00    3.64e+01      4.71e+00    8.05e+00      3.49e+00    3.19e+01    1.0e-07
 164000      7.32e+01    3.61e+01      4.61e+00    7.80e+00      7.10e+01    3.19e+01    9.0e-08
 166000      2.14e+01    2.08e+01      5.05e+00    2.11e+00      1.98e+01    2.02e+01    8.0e-08
 168000      5.45e+00    5.58e+01      2.54e+00    7.48e+00      4.02e+00    5.38e+01    7.0e-08
